student_id,gender,attendance,study_hours,sleep_hours,internal_marks,assignments,final_result
137,Male,81,6,6,90,91,79
138,Male,77,7,7,89,80,74
139,Female,93,9,7,81,70,80
140,Male,80,5,8,77,88,66
141,Male,88,9,6,84,90,83
142,Female,86,8,7,89,73,74
143,Female,77,9,6,68,88,65
144,Female,72,5,7,74,95,71
145,Male,72,8,7,67,98,71
146,Male,70,9,6,82,90,72
147,Male,96,8,7,86,80,76
148,Female,74,6,7,98,77,81
149,Male,79,6,8,72,80,67
150,Male,76,9,7,83,73,24
151,Female,95,8,7,70,86,81
152,Female,78,5,7,90,96,76
153,Female,97,9,8,98,76,84
154,Female,76,6,6,70,77,25
155,Female,78,6,8,97,72,80
156,Male,77,9,8,86,91,80
157,Female,81,8,6,85,71,72
158,Male,71,6,8,70,92,70
159,Male,70,8,6,70,84,60
160,Female,85,6,8,68,93,62
161,Female,92,6,6,94,91,77
162,Female,92,7,7,75,91,73
163,Male,99,6,8,94,74,84
164,Female,93,5,8,95,93,91
165,Female,74,9,8,88,70,73
166,Female,72,9,8,73,95,77
167,Female,81,8,7,67,73,73
168,Female,77,6,8,95,84,73
169,Male,91,5,7,88,89,84
170,Male,96,8,7,95,88,85
171,Male,72,7,7,70,72,62
172,Female,70,8,7,66,89,72
173,Female,72,8,6,84,80,77
174,Female,74,6,6,92,86,71
175,Male,84,7,8,75,99,76
176,Female,83,8,6,68,96,71
177,Female,72,5,6,79,82,73
178,Female,70,5,8,70,80,66
179,Male,74,9,8,94,71,79
180,Female,95,7,8,66,78,65
181,Male,92,7,6,79,95,78
182,Female,83,9,6,75,71,70
183,Male,76,8,8,72,90,73
184,Male,96,7,7,90,78,83
185,Male,78,5,8,69,78,57
186,Female,84,5,7,70,77,64
187,Female,84,6,7,90,86,81
188,Male,95,7,8,68,70,72
189,Male,79,8,8,83,94,78
190,Female,97,9,8,84,98,93
191,Female,82,9,6,97,80,83
192,Male,88,8,7,84,77,75
193,Female,76,6,6,76,79,65
194,Female,86,9,6,65,94,72
195,Female,89,7,8,90,76,81
196,Female,98,6,6,78,72,70
197,Male,73,7,8,75,72,61
198,Female,99,5,7,77,87,73
199,Female,74,6,8,67,74,60
200,Male,92,9,6,97,81,87
201,Male,76,6,6,70,81,61
202,Female,82,6,8,74,88,74
203,Female,84,6,8,69,99,77
204,Female,80,6,6,87,75,71
205,Female,98,7,7,74,71,69
206,Male,73,5,7,66,81,55
207,Male,82,8,8,77,88,69
208,Male,76,6,7,66,74,59
209,Female,96,9,6,84,81,90
210,Female,88,6,8,65,96,74
211,Female,91,9,6,73,96,81
212,Female,97,7,6,81,86,86
213,Male,71,9,7,73,98,75
214,Male,79,8,8,75,86,75
215,Female,82,5,8,79,79,73
216,Male,99,9,7,88,94,83
217,Female,94,9,6,99,92,100
218,Female,90,5,6,94,86,87
219,Male,75,8,6,95,84,85
220,Female,97,6,6,69,81,69
221,Female,97,9,8,78,99,83
222,Male,81,5,8,75,85,66
223,Female,81,7,7,73,93,73
224,Female,89,5,7,98,88,36
225,Male,99,7,8,76,77,77
226,Female,99,8,8,99,90,86
227,Male,80,6,6,99,86,85
228,Female,95,5,6,65,92,75
229,Male,92,9,7,86,74,84
230,Male,97,8,8,93,91,90
231,Male,94,5,7,72,85,71
232,Female,76,9,8,75,75,71
233,Male,99,5,6,78,77,74
234,Male,70,7,7,94,94,85
235,Male,70,5,7,99,87,84
236,Male,94,5,8,85,94,85
237,Male,96,5,6,69,81,75
238,Female,99,8,7,83,84,87
239,Female,94,5,6,78,96,82
240,Female,89,9,7,90,95,93
241,Female,82,7,6,68,78,73
242,Female,78,7,8,89,82,81
243,Female,72,5,7,89,95,78
244,Female,76,8,7,82,84,68
245,Male,75,8,6,72,79,75
246,Female,77,9,6,78,85,74
247,Male,96,5,7,96,76,80
248,Male,78,7,8,97,86,77
249,Female,99,8,6,87,92,90
250,Male,74,5,6,79,95,66
251,Male,70,8,6,97,90,79
252,Male,88,8,7,89,91,86
253,Male,79,7,7,81,95,82
254,Female,81,6,7,97,76,84
255,Female,93,9,7,66,83,69
256,Female,84,9,8,78,84,74
257,Female,96,7,8,70,90,73
258,Female,91,8,7,70,76,79
259,Female,93,5,8,67,78,60
260,Female,78,8,6,71,88,73
261,Female,89,7,6,72,85,67
262,Female,86,9,6,79,77,76
263,Female,99,8,7,93,87,82
264,Male,86,9,6,97,96,86
265,Female,95,5,8,94,92,79
266,Male,89,9,7,91,98,82
267,Male,81,9,8,93,87,87
268,Male,99,6,6,97,99,89
269,Male,76,6,6,91,89,70
270,Female,71,6,6,97,76,76
271,Male,72,9,7,68,72,65
272,Female,86,7,8,86,87,76
273,Female,74,9,7,66,96,72
274,Male,86,7,7,74,79,78
275,Female,93,7,6,69,76,75
276,Male,86,6,7,74,86,76
277,Male,96,8,7,97,83,94
278,Female,86,5,6,77,93,67
279,Female,71,6,7,95,72,70
280,Male,71,6,6,88,81,74
281,Female,97,8,6,79,97,82
282,Female,91,5,6,93,82,74
283,Female,92,9,6,72,71,70
284,Male,74,9,7,69,72,74
285,Male,70,6,6,93,74,74
286,Female,70,5,6,68,80,62
287,Female,88,6,7,76,77,76
288,Female,99,7,7,66,95,68
289,Female,71,6,8,91,92,78
290,Female,90,6,7,95,92,88
291,Male,81,9,7,90,81,78
292,Female,95,9,8,91,76,84
293,Male,75,9,7,69,84,76
294,Female,92,7,7,84,93,82
295,Male,73,9,7,75,86,79
296,Female,92,5,7,74,73,71
297,Male,80,8,8,70,98,71
298,Female,93,5,7,72,91,75
299,Male,96,5,7,87,94,80
300,Male,86,9,8,90,82,77
301,Male,75,8,6,76,87,70
302,Male,93,8,8,90,70,78
303,Male,74,8,6,77,85,35
304,Male,89,7,8,82,82,81
305,Female,71,9,8,89,79,71
306,Male,75,8,7,97,81,82
307,Female,91,7,6,76,99,83
308,Female,80,6,7,68,71,65
309,Female,85,6,6,69,92,67
310,Female,85,7,8,72,72,62
311,Female,70,7,8,92,79,70
312,Male,78,9,6,95,71,81
313,Male,97,9,7,73,99,81
314,Male,96,6,7,93,96,90
315,Female,75,8,7,78,92,75
316,Male,85,6,7,86,82,80
317,Male,98,8,8,75,82,73
318,Male,72,8,8,87,87,73
319,Male,89,9,8,65,72,71
320,Male,97,5,8,85,96,87
321,Female,96,5,8,90,76,75
322,Male,73,7,7,87,83,75
323,Female,88,9,7,65,89,74
324,Female,95,8,7,79,98,77
325,Female,72,5,7,85,99,75
326,Female,88,8,8,73,86,70
327,Female,89,5,8,73,98,73
328,Male,76,5,8,74,99,62
329,Male,89,5,6,90,90,75
330,Male,78,9,7,99,81,80
331,Female,70,6,7,89,94,77
332,Male,77,8,8,90,85,78
333,Male,76,9,7,75,93,30
334,Female,87,9,7,66,81,72
335,Female,77,9,8,71,84,78
336,Female,70,9,6,82,94,74
337,Female,80,9,6,91,79,81
338,Male,97,7,6,98,99,96
339,Female,94,8,8,91,94,90
340,Female,94,9,7,81,76,87
341,Male,87,8,8,88,89,88
342,Male,92,7,8,89,74,83
343,Female,99,7,7,71,70,66
344,Male,79,8,6,70,99,76
345,Female,72,5,6,88,86,69
346,Female,76,6,8,97,72,73
347,Male,97,5,6,93,82,84
348,Male,85,5,8,86,83,71
349,Female,95,5,8,90,93,86
350,Female,85,9,7,92,99,89
351,Female,94,7,7,85,87,81
352,Male,89,5,7,71,73,64
353,Female,97,7,8,81,87,84
354,Female,86,8,7,84,99,86
355,Female,71,6,6,84,74,62
356,Female,70,8,6,86,94,82
357,Female,85,8,8,92,85,83
358,Male,99,9,8,71,70,74
359,Female,81,6,7,65,90,66
360,Female,74,8,8,96,83,82
361,Female,74,8,8,77,84,67
362,Female,96,6,6,94,78,86
363,Male,92,6,6,87,84,81
364,Male,78,8,7,83,86,70
365,Male,78,6,8,96,94,81
366,Female,72,8,8,94,93,83
367,Female,88,8,6,93,73,80
368,Male,85,9,8,93,81,80
369,Male,85,5,6,94,96,79
370,Male,72,8,7,80,95,68
371,Female,89,7,6,83,74,78
372,Female,93,5,8,82,98,73
373,Male,91,5,7,65,74,59
374,Male,93,5,6,78,80,77
375,Male,70,9,6,66,97,68
376,Female,93,8,7,92,75,79
377,Female,89,9,7,94,76,91
378,Female,80,8,6,68,93,76
379,Male,86,9,8,65,83,65
380,Male,77,9,6,72,93,70
381,Female,73,7,7,93,80,75
382,Male,75,9,6,67,99,74
383,Female,77,6,7,96,82,85
384,Male,89,7,7,74,71,68
385,Male,99,9,8,74,94,77
386,Male,72,5,7,83,76,69
387,Male,85,6,7,98,89,84
388,Female,99,6,8,97,73,81
389,Male,94,6,7,87,96,83
390,Female,72,7,8,92,77,77
391,Female,94,9,8,96,89,90
392,Female,98,9,7,71,98,79
393,Male,87,5,7,93,91,87
394,Female,83,5,6,72,90,61
395,Female,87,6,8,65,88,74
396,Female,71,5,6,67,82,60
397,Male,91,7,7,88,83,76
398,Male,72,9,6,87,79,73
399,Female,85,6,8,72,80,72
400,Male,98,5,6,67,71,73
